"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"age",16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
"5",-1.74,-1.62,-1.51,-1.39,-1.28,-1.16,-1.06,-0.96,-0.87,-0.78,-0.7,-0.63,-0.57,-0.51,-0.45,-0.39,-0.34,-0.3,-0.25,-0.21,-0.16,-0.12,-0.07
"10",-1.58,-1.47,-1.35,-1.24,-1.12,-1.01,-0.9,-0.8,-0.71,-0.63,-0.55,-0.48,-0.41,-0.35,-0.29,-0.24,-0.19,-0.14,-0.1,-0.05,-0.01,0.04,0.08
"15",-1.48,-1.36,-1.25,-1.13,-1.02,-0.91,-0.8,-0.7,-0.61,-0.52,-0.44,-0.37,-0.31,-0.25,-0.19,-0.14,-0.09,-0.04,0.01,0.05,0.1,0.14,0.19
"20",-1.4,-1.28,-1.16,-1.05,-0.93,-0.82,-0.72,-0.62,-0.52,-0.44,-0.36,-0.29,-0.23,-0.16,-0.11,-0.05,0,0.05,0.09,0.14,0.18,0.22,0.27
"25",-1.33,-1.21,-1.09,-0.98,-0.86,-0.75,-0.65,-0.55,-0.45,-0.37,-0.29,-0.22,-0.15,-0.09,-0.04,0.02,0.07,0.12,0.16,0.21,0.25,0.3,0.34
"30",-1.26,-1.15,-1.03,-0.91,-0.8,-0.69,-0.58,-0.48,-0.39,-0.3,-0.23,-0.16,-0.09,-0.03,0.03,0.08,0.13,0.18,0.23,0.27,0.31,0.36,0.4
"35",-1.2,-1.09,-0.97,-0.86,-0.74,-0.63,-0.52,-0.42,-0.33,-0.25,-0.17,-0.1,-0.03,0.03,0.09,0.14,0.19,0.24,0.29,0.33,0.37,0.42,0.46
"40",-1.15,-1.03,-0.91,-0.8,-0.68,-0.57,-0.47,-0.37,-0.27,-0.19,-0.11,-0.04,0.02,0.09,0.14,0.2,0.25,0.3,0.34,0.39,0.43,0.47,0.52
"45",-1.09,-0.98,-0.86,-0.74,-0.63,-0.52,-0.41,-0.31,-0.22,-0.14,-0.06,0.01,0.08,0.14,0.2,0.25,0.3,0.35,0.4,0.44,0.48,0.53,0.57
"50",-1.04,-0.92,-0.81,-0.69,-0.58,-0.47,-0.36,-0.26,-0.17,-0.08,0,0.07,0.13,0.19,0.25,0.3,0.35,0.4,0.45,0.49,0.54,0.58,0.63
"55",-0.99,-0.87,-0.75,-0.64,-0.52,-0.41,-0.31,-0.21,-0.11,-0.03,0.05,0.12,0.19,0.25,0.3,0.36,0.41,0.46,0.5,0.55,0.59,0.63,0.68
"60",-0.93,-0.82,-0.7,-0.58,-0.47,-0.36,-0.25,-0.15,-0.06,0.03,0.1,0.17,0.24,0.3,0.36,0.41,0.46,0.51,0.56,0.6,0.65,0.69,0.73
"65",-0.88,-0.76,-0.64,-0.53,-0.41,-0.3,-0.2,-0.1,0,0.08,0.16,0.23,0.3,0.36,0.41,0.47,0.52,0.57,0.61,0.66,0.7,0.75,0.79
"70",-0.82,-0.7,-0.58,-0.47,-0.35,-0.24,-0.14,-0.04,0.06,0.14,0.22,0.29,0.35,0.42,0.47,0.53,0.58,0.63,0.67,0.72,0.76,0.8,0.85
"75",-0.75,-0.64,-0.52,-0.41,-0.29,-0.18,-0.07,0.03,0.12,0.2,0.28,0.35,0.42,0.48,0.54,0.59,0.64,0.69,0.74,0.78,0.82,0.87,0.91
"80",-0.68,-0.57,-0.45,-0.33,-0.22,-0.11,0,0.1,0.19,0.28,0.35,0.42,0.49,0.55,0.61,0.66,0.71,0.76,0.81,0.85,0.89,0.94,0.98
"85",-0.6,-0.48,-0.37,-0.25,-0.14,-0.03,0.08,0.18,0.27,0.36,0.44,0.51,0.57,0.63,0.69,0.74,0.79,0.84,0.89,0.93,0.98,1.02,1.07
"90",-0.5,-0.38,-0.26,-0.15,-0.03,0.08,0.18,0.28,0.38,0.46,0.54,0.61,0.68,0.74,0.79,0.85,0.9,0.95,0.99,1.04,1.08,1.13,1.17
"95",-0.34,-0.23,-0.11,0.01,0.12,0.23,0.34,0.44,0.53,0.62,0.69,0.77,0.83,0.89,0.95,1,1.05,1.1,1.15,1.19,1.24,1.28,1.32
"99",-0.05,0.06,0.18,0.3,0.41,0.52,0.63,0.73,0.82,0.91,0.98,1.05,1.12,1.18,1.24,1.29,1.34,1.39,1.44,1.48,1.53,1.57,1.61
